id,area,severity,title,affected_file,affected_symbol,finding_tags,source_log,issue_file,summary,proposed_patch
1,core,Medium,AMRSimulation::computeTimestepAtLevel(int): `hydro_dt` is computed as `dx_min / domain_signal_max` without guarding `domain_signal_max <= 0` or non-finite values (`src/simulation.hpp:1171`),src/simulation.hpp,AMRSimulation::computeTimestepAtLevel(int),none,audit/src-audit-log.md:223,audit/issues/core/001-amrsimulation-computetimestepatlevel-int-simulation-hpp.md,`hydro_dt` is computed as `dx_min / domain_signal_max` without guarding `domain_signal_max <= 0` or non-finite values (`src/simulation.hpp:1171`). A zero/NaN signal speed can produce `inf`/`nan` timestep and contaminate later timestep logic.,"Add explicit runtime guards for zero/non-finite/invalid inputs before the division or square-root path, and choose a deterministic fallback (early return, clamp, or hard abort) consistent with surrounding code."
2,core,Medium,"AMRSimulation::evolve(): time-based checkpoint scheduling is initialized with `next_chk_file_time = 0` and not advanced to `checkpointTimeInterval_` on fresh starts (`src/simulation.hpp:1338-1345`), unlike plotfiles (`src/simulation.hpp:1328-1337`)",src/simulation.hpp,AMRSimulation::evolve(),none,audit/src-audit-log.md:227,audit/issues/core/002-amrsimulation-evolve-simulation-hpp.md,"time-based checkpoint scheduling is initialized with `next_chk_file_time = 0` and not advanced to `checkpointTimeInterval_` on fresh starts (`src/simulation.hpp:1338-1345`), unlike plotfiles (`src/simulation.hpp:1328-1337`). This causes `checkpointtime_interval` to trigger on the first completed step (`src/simulation.hpp:1530-1535`) rather than after one full interval.","Mirror the plotfile scheduling logic on fresh starts by initializing `next_chk_file_time` to the first checkpoint interval (or `cur_time + checkpointTimeInterval_`), then advancing monotonically after writes."
3,core,Medium,AMRSimulation::evolve(): time sync assert divides by `cur_time` (`src/simulation.hpp:1459`),src/simulation.hpp,AMRSimulation::evolve(),none,audit/src-audit-log.md:228,audit/issues/core/003-amrsimulation-evolve-simulation-hpp.md,"time sync assert divides by `cur_time` (`src/simulation.hpp:1459`). If a zero timestep is produced (e.g., pathological CFL calculation), this assertion becomes `0/0` or `x/0` and fails non-diagnostically.",Rework the time-sync assertion to avoid dividing by `cur_time`; use an absolute tolerance when `cur_time == 0` and a relative check otherwise.
4,core,High,"AMRSimulation::calculateGpotAllLevels(): the OpenBCSolver branch computes `abstol = abstolPoisson_ * rhs_min` (`src/simulation.hpp:1842`) using the signed minimum RHS value, while the MLMG branch uses `std::abs(rhs_min)` (`src/simulation.hpp:1821`)",src/simulation.hpp,AMRSimulation::calculateGpotAllLevels(),none,audit/src-audit-log.md:229,audit/issues/core/004-amrsimulation-calculategpotalllevels-simulation-hpp.md,"the OpenBCSolver branch computes `abstol = abstolPoisson_ * rhs_min` (`src/simulation.hpp:1842`) using the signed minimum RHS value, while the MLMG branch uses `std::abs(rhs_min)` (`src/simulation.hpp:1821`). For the common case `rhs_min < 0`, this can pass a negative absolute tolerance to the solver.","Match the MLMG branch and compute the OpenBCSolver absolute tolerance from `std::abs(rhs_min)` (or a non-negative norm), then assert the final `abstol >= 0`."
5,core,High,AMRSimulation::MakeNewLevelFromCoarse(...): constructs per-direction face BC arrays with `BCs_array[idim] = BCs_fc_` (`src/simulation.hpp:2367`) instead of slicing the flattened `BCs_fc_` vector to `ncomp_per_dim_fc` entries,src/simulation.hpp,AMRSimulation::MakeNewLevelFromCoarse(...),correctness,audit/src-audit-log.md:240,audit/issues/core/005-amrsimulation-makenewlevelfromcoarse-simulation-hpp.md,constructs per-direction face BC arrays with `BCs_array[idim] = BCs_fc_` (`src/simulation.hpp:2367`) instead of slicing the flattened `BCs_fc_` vector to `ncomp_per_dim_fc` entries. `FillCoarsePatchFaceArray(...)` then receives incorrect BC vector sizes/ordering.,"Slice `BCs_fc_` into per-direction vectors of length `ncomp_per_dim_fc` before calling face-array fill helpers, instead of reusing the full flattened vector for every direction."
6,core,High,"AMRSimulation::RemakeLevel(...): `int_state_old_cc` is allocated but never filled before `std::swap(int_state_old_cc, state_old_cc_[level])` (`src/simulation.hpp:2386-2389`), so `state_old_cc_[level]` becomes uninitialized after remaking a level",src/simulation.hpp,AMRSimulation::RemakeLevel(...),correctness,audit/src-audit-log.md:241,audit/issues/core/006-amrsimulation-remakelevel-simulation-hpp.md,"`int_state_old_cc` is allocated but never filled before `std::swap(int_state_old_cc, state_old_cc_[level])` (`src/simulation.hpp:2386-2389`), so `state_old_cc_[level]` becomes uninitialized after remaking a level.",Initialize or copy-populate the temporary state before swapping it into the live state vector; add a regression test that exercises the remake/remap path.
7,core,High,"AMRSimulation::RemakeLevel(...): repeats the same face-BC packing bug as `MakeNewLevelFromCoarse` (`BCs_array[idim] = BCs_fc_` at `src/simulation.hpp:2416`), passing flattened BC records where per-direction BC vectors are expected",src/simulation.hpp,AMRSimulation::RemakeLevel(...),correctness,audit/src-audit-log.md:242,audit/issues/core/007-amrsimulation-remakelevel-simulation-hpp.md,"repeats the same face-BC packing bug as `MakeNewLevelFromCoarse` (`BCs_array[idim] = BCs_fc_` at `src/simulation.hpp:2416`), passing flattened BC records where per-direction BC vectors are expected.","Slice `BCs_fc_` into per-direction vectors of length `ncomp_per_dim_fc` before calling face-array fill helpers, instead of reusing the full flattened vector for every direction."
8,core,High,"AMRSimulation::setDiodeBCLo<...>(...): diode ghost fill copies/reflects only `{rho, mom, E, Eint}` and leaves additional conserved components (e.g",src/simulation.hpp,AMRSimulation::setDiodeBCLo<...>(...),correctness,audit/src-audit-log.md:251,audit/issues/core/008-amrsimulation-setdiodebclo-simulation-hpp.md,"diode ghost fill copies/reflects only `{rho, mom, E, Eint}` and leaves additional conserved components (e.g. passive scalars) untouched (`src/simulation.hpp:2642-2653`, `:2689-2694`). This can leave stale ghost values when diode BCs are used with extra hydro state components.","After populating the core hydro fields, explicitly copy/fill all remaining conserved components (passive scalars and optional extras) in the diode ghost-fill path."
9,core,High,"AMRSimulation::setDiodeBCHi<...>(...): same issue on the upper boundary; only core hydro fields are filled (`src/simulation.hpp:2753-2764`, `:2800-2805`), so passive scalars/other extra conserved components are not boundary-populated",src/simulation.hpp,AMRSimulation::setDiodeBCHi<...>(...),correctness,audit/src-audit-log.md:252,audit/issues/core/009-amrsimulation-setdiodebchi-simulation-hpp.md,"same issue on the upper boundary; only core hydro fields are filled (`src/simulation.hpp:2753-2764`, `:2800-2805`), so passive scalars/other extra conserved components are not boundary-populated.","After populating the core hydro fields, explicitly copy/fill all remaining conserved components (passive scalars and optional extras) in the diode ghost-fill path."
10,core,High,"AMRSimulation::FillCoarsePatch(...): face-centered branch still constructs cell-centered boundary functors (`setBoundaryFunctor`) and never uses `setBoundaryFunctorFaceVar` / `dir` (`src/simulation.hpp:3240-3250`), so custom face-variable physical BCs are skipped on coarse interpolation fills",src/simulation.hpp,AMRSimulation::FillCoarsePatch(...),correctness,audit/src-audit-log.md:261,audit/issues/core/010-amrsimulation-fillcoarsepatch-simulation-hpp.md,"face-centered branch still constructs cell-centered boundary functors (`setBoundaryFunctor`) and never uses `setBoundaryFunctorFaceVar` / `dir` (`src/simulation.hpp:3240-3250`), so custom face-variable physical BCs are skipped on coarse interpolation fills.","In the face-centered `FillCoarsePatch` branch, construct and pass `setBoundaryFunctorFaceVar` with the correct `dir` so custom face-variable physical BC callbacks run during coarse interpolation fills."
